Code	Codelist Code	Codelist Extensible (Yes/No)	Codelist Name	CDISC Submission Value	CDISC Synonym(s)	CDISC Definition	NCI Preferred Term
C172451	C172335		Generalized Anxiety Disorder - 7 Version 2 Questionnaire Parameter Name	GAD02-Total Score - Analysis	GAD02-Total Score - Analysis	Generalized Anxiety Disorder - 7 Version 2 - Total score used for analysis.	Generalized Anxiety Disorder - 7 Version 2 - Analysis
C158114		No	Geriatric Depression Scale Short Form Questionnaire Parameter Code	GDS02PC	Geriatric Depression Scale Short Form Questionnaire Parameter Code	A parameter code codelist for the Geriatric Depression Scale Short Form questionnaire (GDS02) to support the calculation of total score in ADaM.	CDISC ADaM Geriatric Depression Scale Short Form Questionnaire Parameter Code Terminology
C158155	C158114		Geriatric Depression Scale Short Form Questionnaire Parameter Code	GDS02TS	GDS02-Total Score - Analysis	Geriatric Depression Scale Short Form - Total score used for analysis.	Geriatric Depression Scale Short Form - Total Score
C158115		No	Geriatric Depression Scale Short Form Questionnaire Parameter Name	GDS02PN	Geriatric Depression Scale Short Form Questionnaire Parameter Name	A parameter name codelist for the Geriatric Depression Scale Short Form questionnaire (GDS02) to support the calculation of total score in ADaM.	CDISC ADaM Geriatric Depression Scale Short Form Questionnaire Parameter Name Terminology
C158155	C158115		Geriatric Depression Scale Short Form Questionnaire Parameter Name	GDS02-Total Score - Analysis	GDS02-Total Score - Analysis	Geriatric Depression Scale Short Form - Total score used for analysis.	Geriatric Depression Scale Short Form - Total Score
C81225		No	Parameter Type	PARAMTYP	Parameter Type	Parameter Type: Indicates whether the parameter is derived as a function of one or more other parameters.	CDISC ADaM Parameter Type Terminology
C81197	C81225		Parameter Type	DERIVED		Derived: Indicates that a parameter is derived as a function of one or more other parameters.	Derived Flag
C165644		Yes	Pool for Integration	POOLINT	Pool for Integration	Terminology relevant to the name of the Pool, often defined in the integrated statistical analysis plan, which identifies the combination of subjects' clinical trial experience and will be the focus of the integrated analysis.	CDISC ADaM Pool for Integration Terminology
C165858	C165644		Pool for Integration	OVERALL		The pool that includes data across all studies within which the subject has participated, used for the overall integrated analysis.	Overall Pooled Data
C124296		Yes	Subject Trial Status	SBJTSTAT	Subject Trial Status	Indicates the status of the subject in the trial.	CDISC ADaM Subject Trial Status Terminology
C25250	C124296		Subject Trial Status	COMPLETED		To possess every necessary or normal part or component or step; having come or been brought to a conclusion. (NCI)	Complete
C25484	C124296		Subject Trial Status	DISCONTINUED		To stop or end, permanently or temporarily.	Discontinue
C53279	C124296		Subject Trial Status	ONGOING	Continuous	Remain in force or carry on without letup; keep or maintain in unaltered condition; exist in time or space without stop or interruption. (NCI)	Continue
C81226		No	Time Imputation Flag	TIMEFL	Time Imputation Flag	Time Imputation Flag: Indicates the level of imputation reflected in a time value.	CDISC ADaM Time Imputation Flag Terminology
C81213	C81226		Time Imputation Flag	H		Hours Imputed: Entire time (hours, minutes and seconds) is imputed.	Hours Minutes Seconds Imputed
C81214	C81226		Time Imputation Flag	M		Minutes Imputed: Minutes and seconds are imputed.	Minutes Seconds Imputed
C81215	C81226		Time Imputation Flag	S		Seconds Imputed: Seconds are imputed.	Seconds Imputed
